Probe Time,Probe 0,Probe 1,Probe 2,Probe 3,Probe 4
0.1655,165.51,164.059,137.331,114.267,90.6623
0.166,163.539,162.156,137.696,114.66,91.0407
0.1665,164.793,162.879,137.839,114.816,91.1256
0.167,163.615,161.482,136.844,113.859,90.1769
0.1675,162.535,160.579,137.361,114.416,90.7537
0.168,161.286,158.523,135.532,112.606,88.959
0.1685,163.591,160.759,136.691,113.729,90.0403
0.169,161.27,158.408,135.148,112.185,88.5167
0.1695,161.197,158.546,135.267,112.269,88.6487
0.17,156.262,154.256,134.272,111.209,87.6314
0.1705,158.299,156.466,135.158,112.043,88.5081
0.171,156.962,155.213,133.917,110.772,87.3721
0.1715,156.254,154.395,133.493,110.281,86.9873
0.172,157.043,154.762,133.736,110.459,87.3188
0.1725,154.359,152.537,131.466,108.163,85.2102
0.173,153.827,152.065,132.21,108.864,86.1017
0.1735,153.779,152.27,132.326,108.976,86.3662
0.174,151.577,150.153,131.225,107.954,85.5645
0.1745,151.332,149.986,130.601,107.371,85.1423
0.175,151.672,150.941,130.997,107.839,85.7827
0.1755,152.629,151.865,131.023,107.93,85.9616
0.176,150.356,149.768,129.043,106.03,84.1106
0.1765,152.317,151.602,129.848,106.902,84.9981
0.177,156.121,156.083,133.518,110.605,88.6444
0.1775,149.722,149.922,127.884,104.98,82.9198
0.178,152.344,152.329,129.619,106.696,84.4609
0.1785,147.104,147.525,123.53,100.593,78.228
0.179,150.322,150.012,126.312,103.195,80.7286
0.1795,151.566,151.385,127.177,103.854,81.3351
0.18,150.78,150.461,126.682,103.117,80.5902
0.1805,151.452,151.183,128.584,104.917,82.4084
0.181,152.915,152.835,129.802,106.159,83.6748
0.1815,144.999,145.272,122.833,99.2577,76.8095
0.182,145.94,145.966,123.351,99.8679,77.4597
0.1825,148.126,148.224,124.463,101.151,78.7736
0.183,148.418,147.909,123.696,100.53,78.1976
0.1835,147.503,146.961,123.645,100.548,78.2214
0.184,148.542,147.393,123.913,100.944,78.6263
0.1845,147.447,146.325,123.083,100.189,77.8696
0.185,149.728,147.562,122.795,99.9325,77.6007
0.1855,152.252,150.369,125.136,102.233,79.9404
0.186,147.072,143.862,120.792,97.7571,75.4861
0.1865,145.247,141.811,120.62,97.4368,75.2212
0.187,145.541,142.514,121.694,98.3148,76.1244
0.1875,148.511,145.886,124.668,101.033,78.8254
0.188,146.943,145.273,124.055,100.24,78.0591
0.1885,145.272,142.446,121.788,97.8354,75.6104
0.189,138.092,136.7,116.232,92.292,70.1025
0.1895,142.609,139.529,119.519,95.6282,73.3819
0.19,141.621,140.728,119.513,95.8718,73.6213
0.1905,142.7,143.365,118.836,95.497,73.1885
0.191,144.882,144.804,120.412,97.4978,75.0895
0.1915,141.961,142.471,118.928,96.4946,73.9997
0.192,146.569,147.003,119.647,97.5992,74.988
0.1925,141.737,141.898,117.652,95.9276,73.1978
0.193,162.066,162.02,139.003,117.676,94.8386
0.1935,122.428,122.017,98.758,77.7258,54.7313
0.194,139.394,139.286,119.158,98.362,75.2717
0.1945,135.983,135.745,114.277,93.4873,70.3676
0.195,133.588,133.264,112.292,91.3811,68.2091
0.1955,137.339,136.916,115.109,94.0373,70.7708
0.196,135.666,135.192,112.794,91.4948,68.1914
0.1965,138.626,137.949,115.023,93.4763,70.139
0.197,139.877,138.671,115.845,94.0164,70.7275
0.1975,141.167,139.141,116.735,94.5859,71.4512
0.198,150.181,147.471,125.122,102.705,79.7646
0.1985,145.742,142.257,119.947,97.3815,74.6648
0.199,135.627,132.112,109.353,86.7818,64.3187
0.1995,135.651,133.07,107.863,85.4219,63.2228
